x2_value,estimate,se,lower,upper
0.02,0.3253273449704915,0.09087577803031642,0.1472140929640147,0.5034405969769683
1.4433,0.27308722056613444,0.07513468438121257,0.12582594518917342,0.4203484959430954
1.9236,0.25545851842926054,0.0701021905602508,0.11806074969380498,0.3928562871647161
2.3749,0.23889421846180017,0.06555111040654855,0.11041640291835603,0.3673720340052443
2.8044000000000002,0.22313005529755414,0.061415390199321955,0.10275810241040868,0.3435020081846996
3.1174999999999997,0.21163818222019581,0.058544360922450876,0.09689334331427775,0.3263830211261139
3.4198,0.20054270719213627,0.0559072831866937,0.09096644567273472,0.3101189687115378
3.727,0.18926738490096895,0.05338373324464369,0.08463719038117357,0.29389757942076433
4.019,0.17854995616066663,0.05115223322190408,0.07829342131694121,0.27880649100439203
4.252700000000001,0.16997234281611645,0.049498829944617205,0.07295641884779379,0.2669882667844391
4.483,0.16151952145004933,0.047997692409791085,0.06744577298582712,0.25559326991427156
4.7122,0.15310707395937367,0.046642333825977655,0.061689779505562994,0.24452436841318437
5.0123999999999995,0.14208867632978894,0.04509696396137492,0.05370025115339318,0.23047710150618472
5.365899999999999,0.12911398091986823,0.04364562105239845,0.043570135574283936,0.21465782626545252
5.5922,0.12080797364613391,0.042943550332538445,0.03664016162607535,0.20497578566619246
5.829000000000001,0.11211657938002573,0.04241036213753866,0.028993797019148657,0.19523936174090278
6.0746,0.1031021941107852,0.04208320050416752,0.020620636768438852,0.18558375145313155
6.366099999999999,0.09240311713202454,0.042000377692832526,0.010083889516993141,0.17472234474705595
6.665800000000001,0.08140307126398136,0.0422625193679472,-0.0014299445931217902,0.1642360871210845
6.879,0.07357788014263739,0.04266011304587958,-0.010034405003694041,0.15719016528896881
7.206,0.061575828094422136,0.043598539418301545,-0.023875738943998928,0.14702739513284319
7.494299999999999,0.05099420238952784,0.044737938832728266,-0.036690546465175625,0.1386789512442313
7.7888,0.04018501484151743,0.046180419371017,-0.05032694391663191,0.13069697359966675
8.046800000000001,0.030715505886044825,0.04765559407866598,-0.06268774217000092,0.12411875394209057
8.3322,0.02024032039809187,0.04949527482574348,-0.07676863566527753,0.11724927646146127
8.678000000000004,0.0075482421159118185,0.05198427047811625,-0.09433905578378499,0.10943554001560862
9.197200000000002,-0.011508227068899535,0.056175974903808504,-0.12161111467679032,0.09859466053899126
9.7462,-0.03165846124159111,0.06108965434368335,-0.15139198358321157,0.08807506110002936
10.3888,-0.05524414517487275,0.06732601985940835,-0.1872007193217418,0.07671242897199629
11.336500000000003,-0.09002807400084711,0.07721830103921408,-0.2413731629850788,0.06131701498338457
16.529,-0.2806111176105032,0.13805854772222073,-0.5512008989039607,-0.01002133631704577
